     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.65000,0.20000,0.00000,0.05000,0.10000,0.0267503
0.55000,0.15000,0.10000,0.20000,0.00000,0.0461415
0.60000,0.00000,0.40000,0.00000,0.00000,0.0440623
0.45000,0.00000,0.10000,0.15000,0.30000,0.0470700
0.50000,0.05000,0.25000,0.00000,0.20000,0.0784395
0.35000,0.05000,0.20000,0.10000,0.30000,0.0701468
0.50000,0.20000,0.10000,0.10000,0.10000,0.0486333
0.45000,0.45000,0.10000,0.00000,0.00000,0.0347766
0.40000,0.25000,0.35000,0.00000,0.00000,0.1029635
0.35000,0.00000,0.15000,0.15000,0.35000,0.0543509
0.35000,0.35000,0.05000,0.15000,0.10000,0.0331358
0.35000,0.20000,0.20000,0.05000,0.20000,0.0694625
0.30000,0.25000,0.25000,0.00000,0.20000,0.0783935
0.30000,0.40000,0.10000,0.10000,0.10000,0.0415726
0.45000,0.20000,0.00000,0.20000,0.15000,0.0230649
0.40000,0.05000,0.30000,0.00000,0.25000,0.0899199
0.40000,0.15000,0.10000,0.25000,0.10000,0.0475675
0.40000,0.00000,0.15000,0.05000,0.40000,0.0541733
0.45000,0.05000,0.35000,0.10000,0.05000,0.0953883
0.35000,0.10000,0.35000,0.20000,0.00000,0.1034825
0.55000,0.00000,0.25000,0.05000,0.15000,0.0690016
0.75000,0.00000,0.05000,0.05000,0.15000,0.0518435
0.60000,0.25000,0.15000,0.00000,0.00000,0.0600733
0.90000,0.05000,0.00000,0.05000,0.00000,0.0318388
0.60000,0.00000,0.35000,0.05000,0.00000,0.0547978
0.55000,0.15000,0.10000,0.15000,0.05000,0.0451994
0.65000,0.20000,0.00000,0.00000,0.15000,0.0289028
0.50000,0.05000,0.20000,0.25000,0.00000,0.0655329
0.45000,0.00000,0.10000,0.10000,0.35000,0.0438464
0.35000,0.05000,0.20000,0.05000,0.35000,0.0652284
0.40000,0.25000,0.30000,0.05000,0.00000,0.0918430
0.45000,0.45000,0.05000,0.05000,0.00000,0.0257648
0.35000,0.00000,0.15000,0.10000,0.40000,0.0511381
0.50000,0.20000,0.10000,0.05000,0.15000,0.0467020
0.35000,0.35000,0.05000,0.10000,0.15000,0.0287968
0.30000,0.25000,0.20000,0.25000,0.00000,0.0781313
0.30000,0.40000,0.10000,0.05000,0.15000,0.0355506
0.35000,0.20000,0.20000,0.00000,0.25000,0.0624073
0.40000,0.05000,0.25000,0.30000,0.00000,0.0798928
0.45000,0.20000,0.00000,0.15000,0.20000,0.0209958
0.40000,0.15000,0.10000,0.20000,0.15000,0.0458621
0.40000,0.00000,0.15000,0.00000,0.45000,0.0491595
0.45000,0.05000,0.35000,0.05000,0.10000,0.0896766
0.35000,0.10000,0.35000,0.15000,0.05000,0.1041206
0.55000,0.00000,0.25000,0.00000,0.20000,0.0684968
0.75000,0.00000,0.05000,0.00000,0.20000,0.0604651
0.60000,0.25000,0.10000,0.05000,0.00000,0.0448946
0.60000,0.00000,0.35000,0.00000,0.05000,0.0522305
0.90000,0.05000,0.00000,0.00000,0.05000,0.0535838
0.55000,0.15000,0.10000,0.10000,0.10000,0.0449092
0.65000,0.15000,0.20000,0.00000,0.00000,0.0675264
0.50000,0.05000,0.20000,0.20000,0.05000,0.0657941
0.45000,0.00000,0.10000,0.05000,0.40000,0.0445645
0.35000,0.05000,0.20000,0.00000,0.40000,0.0626177
0.40000,0.25000,0.30000,0.00000,0.05000,0.0915828
0.45000,0.45000,0.05000,0.00000,0.05000,0.0212257
0.35000,0.00000,0.15000,0.05000,0.45000,0.0497851
